wdur,twdur,age,jobno2,single,hrswk,size,marri,female,white,rhrpay2,ind_pub,highsch,graduate,hrswk_sq
194,194,26,1,0,55,1,"Never-married",1,1,944,0,0,1,3025
219,219,21,1,0,40,200,"Never-married",1,0,593,0,1,0,1600
78,315,26,3,0,40,1000,"Never-married",1,0,432,0,1,0,1600
9,419,26,5,0,30,-2,"Never-married",1,0,440,0,1,0,900
45,498,28,5,1,40,1000,"Never-married",1,0,434,0,1,0,1600
6,103,19,2,1,40,-4,"Never-married",1,0,326,0,1,0,1600
30,133,19,3,0,40,-2,"Never-married",1,0,364,0,1,0,1600
10,169,20,5,1,40,-4,"Never-married",1,0,215,1,1,0,1600
25,194,21,6,1,25,10,"Never-married",1,0,353,0,1,0,625
75,269,22,7,0,37,12,"Never-married",1,0,466,0,1,0,1369
123,741,32,11,1,40,200,"Never-married",1,0,420,1,1,0,1600
50,277,23,3,1,40,22,"Never-married",0,0,483,0,1,0,1600
18,295,24,4,1,40,37,"Never-married",0,0,864,1,1,0,1600
125,420,26,5,0,40,60,"Never-married",0,0,379,1,1,0,1600
101,537,29,5,0,48,58,"Married",0,0,1387,1,1,0,2304
52,52,19,1,1,40,-2,"Never-married",1,0,286,0,1,0,1600
31,126,20,5,1,35,10,"Never-married",1,0,383,0,1,0,1225
47,178,22,7,0,40,20,"Married",1,0,384,0,1,0,1600
455,636,31,8,1,35,100,"Married",1,0,448,1,1,0,1225
29,57,23,4,0,28,45,"Never-married",0,0,360,0,0,0,784
14,74,26,4,1,40,-2,"Never-married",0,0,280,0,0,0,1600
184,184,20,1,1,24,6,"Never-married",1,1,307,0,1,0,576
70,264,23,3,0,20,-4,"Never-married",1,1,394,0,0,1,400
153,504,30,6,1,50,50,"Never-married",1,1,806,0,0,1,2500
20,34,24,2,0,16,-4,"Never-married",0,1,720,0,0,1,256
28,28,23,1,1,24,5,"Never-married",0,1,450,0,0,1,576
18,18,18,1,1,24,23,"Never-married",0,0,228,0,0,0,576
7,25,19,2,0,35,13,"Never-married",0,0,348,0,0,0,1225
33,113,25,7,1,40,-2,"Never-married",0,0,557,0,0,0,1600
41,154,25,8,0,40,150,"Never-married",0,0,683,0,0,0,1600
45,96,22,4,1,42,115,"Never-married",0,0,138,0,0,0,1764
19,79,19,4,0,30,-2,"Never-married",1,0,263,0,0,0,900
21,102,19,5,0,40,20,"Never-married",1,0,588,0,0,0,1600
88,269,23,7,0,45,7,"Never-married",1,0,499,1,0,0,2025
8,507,23,5,1,45,-4,"Never-married",0,0,260,0,0,0,2025
33,553,24,7,1,40,-4,"Never-married",0,0,261,0,0,0,1600
4,574,25,9,0,36,100,"Never-married",0,0,700,0,0,0,1296
140,209,24,2,1,35,500,"Married",1,0,770,0,1,0,1225
47,81,22,4,1,40,-2,"Never-married",0,0,324,0,0,0,1600
60,111,22,3,0,25,-4,"Never-married",0,0,262,0,0,0,625
247,339,28,2,0,45,12,"Never-married",1,0,455,1,0,1,2025
67,67,22,1,0,5,-2,"Never-married",0,1,394,1,0,1,25
53,143,23,4,1,40,8,"Never-married",0,1,697,0,0,1,1600
65,208,25,5,0,45,-4,"Never-married",0,1,792,0,0,1,2025
254,463,29,6,1,40,500,"Never-married",0,1,1355,0,0,1,1600
171,171,29,1,1,40,20,"Married",1,1,1581,0,0,1,1600
26,216,30,3,1,40,-4,"Married",1,1,1516,0,0,1,1600
46,299,32,6,1,40,-4,"Married",1,1,1960,0,0,1,1600
52,351,32,7,1,40,-2,"Married",1,1,1573,0,0,1,1600
14,24,24,2,1,35,-2,"Never-married",1,1,150,0,0,1,1225
9,41,24,4,0,6,-2,"Never-married",1,1,674,0,0,1,36
13,149,29,10,1,25,-4,"Never-married",1,1,155,0,0,1,625
4,54,24,3,0,35,157,"Never-married",0,1,630,0,0,1,1225
140,140,23,1,0,50,7,"Never-married",1,1,269,0,0,1,2500
6,151,23,2,0,15,-4,"Never-married",1,1,384,1,0,1,225
6,186,24,3,0,20,6,"Never-married",1,1,743,1,0,1,400
36,386,28,3,1,40,15,"Never-married",1,1,845,1,0,1,1600
141,282,31,6,0,25,20,"Never-married",0,0,599,1,0,1,625
33,290,27,7,0,30,50,"Never-married",1,1,153,0,0,1,900
69,360,28,8,0,35,40,"Never-married",1,1,161,0,0,1,1225
26,411,30,8,0,35,50,"Never-married",1,1,189,0,0,1,1225
26,454,30,10,1,40,25,"Never-married",1,1,569,0,0,1,1600
11,98,21,4,0,40,-2,"Never-married",1,0,221,0,0,0,1600
48,149,22,5,0,16,13,"Never-married",1,0,739,0,0,0,256
1,155,22,7,1,45,-4,"Never-married",1,0,263,0,0,0,2025
14,231,25,11,1,25,50,"Never-married",1,0,250,0,0,0,625
5,8,22,2,1,41,-4,"Never-married",0,0,240,0,1,0,1681
45,53,23,3,1,35,35,"Married",0,0,307,0,1,0,1225
3,56,23,4,1,45,-4,"Married",0,0,422,0,1,0,2025
126,579,31,3,1,20,500,"Never-married",1,0,245,1,1,0,400
19,129,26,3,1,40,-4,"Never-married",1,0,303,0,1,0,1600
16,249,28,5,0,40,6,"Never-married",1,0,482,0,1,0,1600
65,189,26,2,1,35,-2,"Never-married",1,0,439,0,0,1,1225
84,136,21,3,0,35,3,"Never-married",1,0,507,0,1,0,1225
64,133,22,3,0,15,8,"Never-married",1,0,230,0,0,0,225
51,70,22,2,0,36,-2,"Never-married",0,0,252,0,1,0,1296
131,238,25,2,0,35,-2,"Never-married",0,0,278,0,1,0,1225
20,274,26,2,0,35,400,"Never-married",0,0,270,0,1,0,1225
9,313,27,5,0,40,-4,"Never-married",0,0,280,0,1,0,1600
16,331,27,6,0,40,50,"Never-married",0,0,350,0,1,0,1600
27,60,22,2,1,40,-2,"Married",0,0,278,0,1,0,1600
35,95,24,3,1,40,90,"Married",0,0,432,0,1,0,1600
168,247,23,4,1,40,300,"Never-married",1,0,416,0,1,0,1600
9,9,19,1,0,38,40,"Never-married",1,0,236,0,0,0,1444
